"animal_id","birthsite","year_birth","year_cap","age","weight.lb","weight.kg","antler.in","antler.cm","annual.by","annual.cy","by.rain.bin","cy.rain.bin","match"
"270-2008-1-017","dmp",2008,2014,6,196,89.09,186.75,474.35,20.3,22.1,"intermediate","intermediate","1"
"270-2010-1-003","dmp",2010,2014,4,200,90.91,150.125,381.32,31.8,22.1,"wet","intermediate","2"
"270-2009-1-002","dmp",2009,2014,5,216,98.18,132.25,335.92,20.4,22.1,"intermediate","intermediate","1"
"270-2011-1-246","dmp",2011,2014,3,159,72.27,125.375,318.45,14.1,22.1,"dry","intermediate","3"
"270-2012-1-224","dmp",2012,2014,2,164,74.55,101.75,258.44,15.8,22.1,"dry","intermediate","3"
"270-2009-1-020","dmp",2009,2014,5,206,93.64,184.875,469.58,20.4,22.1,"intermediate","intermediate","1"
"270-2013-1-210","dmp",2013,2014,1,98,44.55,37.25,94.61,34.5,22.1,"wet","intermediate","2"
"270-2011-1-333","dmp",2011,2014,3,199,90.45,115.875,294.32,14.1,22.1,"dry","intermediate","3"
"270-2008-1-014","dmp",2008,2014,6,213,96.82,157.625,400.37,20.3,22.1,"intermediate","intermediate","1"
"270-2011-1-295","dmp",2011,2014,3,160,72.73,134.125,340.68,14.1,22.1,"dry","intermediate","3"
"270-2010-1-001","dmp",2010,2014,4,186,84.55,163.875,416.24,31.8,22.1,"wet","intermediate","2"
"270-2013-1-256","dmp",2013,2014,1,107,48.64,46.875,119.06,34.5,22.1,"wet","intermediate","2"
"270-2007-1-006","dmp",2007,2014,7,217,98.64,149.125,378.78,38.35,22.1,"wet","intermediate","2"
"270-2010-1-010","dmp",2010,2014,4,197,89.55,176.375,447.99,31.8,22.1,"wet","intermediate","2"
"270-2012-1-265","dmp",2012,2014,2,171,77.73,92,233.68,15.8,22.1,"dry","intermediate","3"
"270-2010-1-021","dmp",2010,2014,4,195,88.64,162.875,413.7,31.8,22.1,"wet","intermediate","2"
"270-2011-1-322","dmp",2011,2014,3,148,67.27,153.375,389.57,14.1,22.1,"dry","intermediate","3"
"270-2010-1-028","dmp",2010,2014,4,213,96.82,125.625,319.09,31.8,22.1,"wet","intermediate","2"
"270-2012-1-266","dmp",2012,2014,2,162,73.64,97.625,247.97,15.8,22.1,"dry","intermediate","3"
"270-2008-1-008","dmp",2008,2014,6,167,75.91,190,482.6,20.3,22.1,"intermediate","intermediate","1"
"270-2011-1-244","dmp",2011,2014,3,173,78.64,141.25,358.78,14.1,22.1,"dry","intermediate","3"
"270-2007-1-051","dmp",2007,2014,7,220,100,187.75,476.88,38.35,22.1,"wet","intermediate","2"
"270-2012-1-278","dmp",2012,2014,2,155,70.45,108.5,275.59,15.8,22.1,"dry","intermediate","3"
"270-2009-1-021","dmp",2009,2014,5,203,92.27,151.375,384.49,20.4,22.1,"intermediate","intermediate","1"
"270-2009-1-012","dmp",2009,2014,5,210,95.45,128.375,326.07,20.4,22.1,"intermediate","intermediate","1"
"270-2013-1-238","dmp",2013,2014,1,87,39.55,35.375,89.85,34.5,22.1,"wet","intermediate","2"
